,Label,Text,UID
0,1,nen á vist bolest vztek smutek ज़मातेक ोसम ě lost beznad ě ज a nakonec जेन कलिद असि तखले विपद á म ů j life ...,4330
1,1,हाँ यार नेहा कब करेगा वह पोस्ट उसने न सच में photoshoot करना चाहिए फिर वह पोस्ट करेगा  ,41616
2,0,television media congress के लिए नही ह . ये तोह आपको पता चल ही गया होगा . अच्छा होगा कि कांग्रेस ke  ,6648
3,2,आल इंडिया me ंर्क लागु करे w कश्मीर से dhara 370ko ख़तम करे हम इंडियन को आपसे यही उम्मीद है,2512
4,1,who पागल है क्या ? They aren ’ t real issues Mandir is important Hindu खतरे में जो है !,610
5,2,जीत की ढेर सारी शुभ कामनाएं मोदी जी आशा करता हु जिस्तरह देश की जनता ने खास कर बिहार की jant  ,14356
6,0,but टोपी वाले बाबू की तउ new job होगी हुमेय छुट्टी कैसे मिले गई ?,5840
7,1,Ye मोदी media वालों को भी मज़ा आता है हिन्दू मुस्लिम के डिबेट करने में,32791
8,0,Baih तेरे ितजी क्या जलती है पाकिस्तान se chutiye खेलने दे न उन्हें बस तू इंडियन भी नहीं h  ,37480
9,1,हहै . I saw that coming . And it ’ s actually from someone ’ स शादी .,16395
10,1,Can you answer miscalculated votes on each seat ? One vote मैटर्स ! है और अपने dhji  ,33428
11,1,Allah pak ोस क दिल का दरवाज़ा कबि off नै करता जो sb k lyhe अचे एह्सास और दुआ दिल म रखता हो . Aajzi,19222
12,1,बहुत ही समझदा से Cingress ने ये फैसला लिया है . और उम्मीद करता हूँ क देश के सभी Party  ,8422
13,2,RT Tu सफ़र मेरा तू ही मेरी मंज़िल .... तेरे बिना गुज़ारा ए दिल है मुश्किल .... ी लव ु !! ,26930
14,2,दोबार से PM बनने की आपको ढेर सारी शुभका उम्मीद ही आपके इसा कार्यकाल में देश बहुत सी नयी उपलब्धि क  ,40285
15,2,वे can face life together and we can spend my money on the both of us but it ’ s still माय मनी,21403
16,2,वाह किसी ने खूब लिखा के शामा खुद को जला के जहा को रोशन करदेता है फिर किया था अपने आपने आप को ba  ,35826
17,0,तानी अबे हाटट तुम flop लोगो की औकाद ही किया ह चुतिया लोग जा ापिजां की चापलूसी कर bad  ,18017
18,2,star77 Ohho वैरी beautiful आईज यररररर,39736
19,0,एवरयोने शिट थे फ़क UP ,15893
